市场位置增强排名,股票代码,名称,原行业,中信行业,中信细分行业,原调整分,市场位置增强分,概念数量,高频主题命中数,高频主题命中,概念板块Top,市场位置摘要
23,sh688469,芯联集成,计算机、通信和其他电子设备制造业,半导体,半导体制造,4.4837,4.3302,16,11,5G概念、AI眼镜、MCU芯片、三代半导、储能、数据中心、新能源车、智能机器,5G概念、AI眼镜、MCU芯片、MicroLED、三代半导、储能、充电桩、数据中心,行业位置：半导体/半导体制造；相关概念：5G概念、AI眼镜、MCU芯片、MicroLED、三代半导；风格标签：MSCI成份、科成长层、近已解禁、连续亏损；指数归属：上证380、中证800、半导体50、科创50；交易属性：中证500、沪港通SH、融资融券。
24,sz300661,圣邦股份,计算机、通信和其他电子设备制造业,半导体,集成电路设计,3.9383,4.3139,11,8,CPO概念、OLED概念、人工智能、存储芯片、汽车电子、汽车芯片、消费电子、芯片,CPO概念、OLED概念、人工智能、存储芯片、无线耳机、汽车电子、汽车芯片、消费电子,行业位置：半导体/集成电路设计；相关概念：CPO概念、OLED概念、人工智能、存储芯片、无线耳机；风格标签：MSCI中盘、保险新进、保险重仓、百元股；指数归属：300ESG、300非周、中创100、中盘成长；交易属性：专精特新、中证A500、深港通SZ、深证成指。
25,sh688041,海光信息,半导体,半导体,集成电路设计,4.3015,4.3023,10,4,DeepSeek、东数西算、人工智能、芯片,DeepSeek、东数西算、人工智能、信创、抖音概念、百度概念、腾讯概念、芯片,行业位置：半导体/集成电路设计；相关概念：DeepSeek、东数西算、人工智能、信创、抖音概念；风格标签：券商金股、北上重仓、基金重仓、大盘股；指数归属：300ESG、300非周、上证180、上证50；交易属性：中证A500、沪港通SH、融资融券。
26,sh688521,芯原股份,半导体,半导体,集成电路设计,3.7226,4.3002,19,11,AI眼镜、MCU芯片、东数西算、人工智能、先进封装、小米概念、汽车电子、汽车芯片,AI手机PC、AI眼镜、MCU芯片、上海自贸、东数西算、人工智能、先进封装、小米概念,行业位置：半导体/集成电路设计；相关概念：AI手机PC、AI眼镜、MCU芯片、上海自贸、东数西算；风格标签：MSCI成份、亏损股、基金重仓、外资背景；指数归属：上证380、上证创新、半导体50、双创50；交易属性：中证A500、沪港通SH、融资融券。
27,sz002185,华天科技,计算机、通信和其他电子设备制造业,半导体,半导体封测,3.988,4.2946,12,10,5G概念、CPO概念、三代半导、先进封装、存储芯片、智能机器、汽车电子、汽车芯片,5G概念、CPO概念、三代半导、先进封装、华为海思、存储芯片、智能机器、毫米雷达,行业位置：半导体/半导体封测；相关概念：5G概念、CPO概念、三代半导、先进封装、华为海思；风格标签：MSCI成份、大基金、重组预案、非周期股；指数归属：中小100、中小300、中证800、半导体50；交易属性：中证500、中证A500、深港通SZ、深证成指。
28,sh600498,烽火通信,计算机、通信和其他电子设备制造业,通信设备,系统设备,4.0092,4.2625,28,14,5G概念、CPO概念、DeepSeek、MCU芯片、东数西算、人工智能、光通信、卫星导航,5G概念、6G概念、AI智能体、CPO概念、DeepSeek、MCU芯片、一带一路、东数西算,行业位置：通信设备/系统设备；相关概念：5G概念、6G概念、AI智能体、CPO概念、DeepSeek；风格标签：MSCI中盘、MSCI成份、参股金融、基金重仓；指数归属：上证380、中证800、中证央企、国证算力；交易属性：中证500、中证A500、沪港通SH、融资融券。
29,sz300115,长盈精密,计算机、通信和其他电子设备制造业,元器件,消费电子组件,3.9313,4.2274,32,13,5G概念、AI眼镜、东数西算、人形机器、储能、卫星导航、小米概念、新能源车,3D打印、5G概念、AI手机PC、AI眼镜、PEEK材料、东数西算、人形机器、储能,行业位置：元器件/消费电子组件；相关概念：3D打印、5G概念、AI手机PC、AI眼镜、PEEK材料；风格标签：MSCI成份、养老金、社保重仓、非周期股；指数归属：中证800、创业300、创业创新、创业大盘；交易属性：中证500、深港通SZ、深证成指、融资融券。
30,sh688396,华润微,计算机、通信和其他电子设备制造业,半导体,功率半导体,4.0963,4.2183,18,14,MCU芯片、三代半导、储能、先进封装、存储芯片、小米概念、数据中心、新能源车,EDA概念、MCU芯片、三代半导、储能、充电桩、先进封装、存储芯片、小米概念,行业位置：半导体/功率半导体；相关概念：EDA概念、MCU芯片、三代半导、储能、充电桩；风格标签：MSCI中盘、大基金、密集调研、非周期股；指数归属：300ESG、300非周、上证180、上证中盘；交易属性：中证A500、沪港通SH、融资融券。
31,sh605358,立昂微,计算机、通信和其他电子设备制造业,半导体,半导体材料,4.3244,4.2168,15,13,5G概念、CPO概念、三代半导、人形机器、光伏、卫星导航、商业航天、国防军工,5G概念、CPO概念、三代半导、人形机器、充电桩、光伏、卫星导航、商业航天,行业位置：半导体/半导体材料；相关概念：5G概念、CPO概念、三代半导、人形机器、充电桩；风格标签：微利股、昨日振荡、最近异动、最近情绪；指数归属：中证800；交易属性：专精特新、中证500、含可转债、沪港通SH。
32,sz300394,天孚通信,通信,通信设备,网络接配及塔设,4.2091,4.1858,8,5,5G概念、CPO概念、先进封装、光通信、数据中心,5G概念、CPO概念、先进封装、光通信、数据中心、无人驾驶、英伟达、通达信88,行业位置：通信设备/网络接配及塔设；相关概念：5G概念、CPO概念、先进封装、光通信、数据中心；风格标签：MSCI成份、QFII新进、QFII重仓、基金重仓；指数归属：300ESG、300非周、中创100、中盘成长；交易属性：专精特新、中证A500、深港通SZ、深证成指。
33,sh688387,信科移动,计算机、通信和其他电子设备制造业,通信设备,系统设备,3.9298,4.1851,17,9,5G概念、DeepSeek、东数西算、人工智能、卫星导航、商业航天、国防军工、物联网,5G概念、6G概念、DeepSeek、东数西算、人工智能、低空经济、信息安全、卫星导航,行业位置：通信设备/系统设备；相关概念：5G概念、6G概念、DeepSeek、东数西算、人工智能；风格标签：MSCI成份、国开持股、定增预案、社保新进；指数归属：中证800、中证央企、科创100、科创国企；交易属性：专精特新、中证500、沪港通SH、融资融券。
34,sh688099,晶晨股份,软件和信息技术服务业,半导体,集成电路设计,3.5803,4.1736,11,7,CPO概念、东数西算、人工智能、小米概念、智能机器、汽车电子、芯片,CPO概念、上海自贸、东数西算、人工智能、小米概念、智能家居、智能机器、机器视觉,行业位置：半导体/集成电路设计；相关概念：CPO概念、上海自贸、东数西算、人工智能、小米概念；风格标签：MSCI成份、基金减仓、基金重仓、外资背景；指数归属：上证380、上证治理、中盘成长、中证800；交易属性：中证500、中证A500、沪港通SH、融资融券。
35,sh688008,澜起科技,半导体,半导体,集成电路设计,4.5981,4.1733,7,6,人工智能、含H股、存储芯片、数据中心、消费电子、芯片,云计算、人工智能、含H股、存储芯片、数据中心、消费电子、芯片,行业位置：半导体/集成电路设计；相关概念：云计算、人工智能、含H股、存储芯片、数据中心；风格标签：MSCI成份、北上重仓、历史新高、回购计划；指数归属：300ESG、300非周、上证180、上证50；交易属性：中证A500、沪港通SH、融资融券。
36,sh688047,龙芯中科,半导体,半导体,集成电路设计,3.8876,4.1661,10,7,DeepSeek、MCU芯片、东数西算、商业航天、智能机器、汽车芯片、芯片,DeepSeek、MCU芯片、东数西算、信创、华为鸿蒙、商业航天、智能机器、汽车芯片,行业位置：半导体/集成电路设计；相关概念：DeepSeek、MCU芯片、东数西算、信创、华为鸿蒙；风格标签：MSCI成份、大基金、密集调研、百元股；指数归属：300非周、上证180、上证中盘、上证创新；交易属性：中证A500、沪港通SH、融资融券。
37,sh600460,士兰微,计算机、通信和其他电子设备制造业,半导体,功率半导体,3.9786,4.1445,15,13,MCU芯片、OLED概念、三代半导、储能、先进封装、光伏、小米概念、新能源车,MCU芯片、MiniLED、OLED概念、三代半导、储能、先进封装、光伏、小米概念,行业位置：半导体/功率半导体；相关概念：MCU芯片、MiniLED、OLED概念、三代半导、储能；风格标签：MSCI中盘、大基金、非周期股；指数归属：300ESG、300非周、上证380、中盘成长；交易属性：中证A500、沪港通SH、融资融券、转融券。
38,sh688234,天岳先进,半导体,半导体,半导体材料,4.6029,4.113,6,5,AI眼镜、三代半导、含H股、新能源车、芯片,AI眼镜、三代半导、含H股、新能源车、智能电网、芯片,行业位置：半导体/半导体材料；相关概念：AI眼镜、三代半导、含H股、新能源车、智能电网；风格标签：历史新高、拟减持、昨日较强、百元股；指数归属：上证380、中盘成长、中证800、半导体50；交易属性：专精特新、中证500、沪港通SH、融资融券。
39,sz300395,菲利华,非金属矿物制品业,玻璃,玻璃制造,4.1232,4.0846,8,6,5G概念、OLED概念、光伏、光通信、国防军工、芯片,5G概念、OLED概念、PCB概念、光伏、光通信、军民融合、国防军工、芯片,行业位置：玻璃/玻璃制造；相关概念：5G概念、OLED概念、PCB概念、光伏、光通信；风格标签：周期股、基金减仓、百元股、社保重仓；指数归属：中证800、创业300、创业创新、创业大盘；交易属性：中证500、中证A500、深港通SZ、深证成指。
40,sh600208,衢州发展,房地产业,全国地产,住宅开发,4.0125,4.064,12,1,芯片,NFT概念、Web3概念、乡村振兴、互联金融、元宇宙、创投概念、区块链、大数据,行业位置：全国地产/住宅开发；相关概念：NFT概念、Web3概念、乡村振兴、互联金融、元宇宙；风格标签：MSCI成份、低安全分、参股金融、周期股；指数归属：上证380、中证800、国证价值、小盘价值；交易属性：中证500、中证A500、沪港通SH、融资融券。
41,sz300316,晶盛机电,专用设备制造业,专用机械,光伏加工设备,3.949,4.0479,10,6,AI眼镜、三代半导、先进封装、光伏、存储芯片、芯片,AI眼镜、BC电池、TOPCon、三代半导、先进封装、光伏、培育钻石、存储芯片,行业位置：专用机械/光伏加工设备；相关概念：AI眼镜、BC电池、TOPCon、三代半导、先进封装；风格标签：MSCI成份、保险重仓、北上重仓、昨日较强；指数归属：300ESG、300非周、中创100、中盘成长；交易属性：中证A500、深港通SZ、深证成指、融资融券。
42,sz000021,深科技,计算机、通信和其他电子设备制造业,元器件,消费电子组件,4.2873,4.0335,17,11,CPO概念、三代半导、储能、先进封装、存储芯片、新能源车、智能机器、汽车电子,CPO概念、三代半导、云计算、储能、先进封装、区块链、存储芯片、新能源车,行业位置：元器件/消费电子组件；相关概念：CPO概念、三代半导、云计算、储能、先进封装；风格标签：昨日强势、昨日振荡、非周期股；指数归属：中证800、中证央企、新硬件、深证300；交易属性：中证500、深港通SZ、深证成指、融资融券。
43,sh688187,时代电气,铁路、船舶、航空航天和其他运输设备制造业,运输设备,轨交设备,3.1864,4.0172,19,9,三代半导、储能、含H股、小米概念、数据中心、新能源车、智能机器、汽车芯片,一带一路、三代半导、储能、充电桩、可燃冰、含H股、小米概念、数据中心,行业位置：运输设备/轨交设备；相关概念：一带一路、三代半导、储能、充电桩、可燃冰；风格标签：养老金、大基金、昨日上榜、昨日涨停；指数归属：300ESG、300非周、上证380、上证治理；交易属性：沪港通SH、融资融券。
44,sh688981,中芯国际,半导体,半导体,半导体制造,4.0067,4.0113,8,7,OLED概念、含H股、存储芯片、汽车电子、消费电子、物联网、芯片,OLED概念、上海自贸、含H股、存储芯片、汽车电子、消费电子、物联网、芯片,行业位置：半导体/半导体制造；相关概念：OLED概念、上海自贸、含H股、存储芯片、汽车电子；风格标签：北上重仓、基金减仓、基金重仓、大基金；指数归属：300ESG、300非周、上证180、上证50；交易属性：中证A500、沪港通SH、融资融券。
45,sh601991,大唐发电,电力、热力生产和供应业,火力发电,火力发电,4.3579,4.0069,7,3,储能、光伏、含H股,储能、光伏、含H股、核电核能、绿色电力、雅江水电、风电,行业位置：火力发电/火力发电；相关概念：储能、光伏、含H股、核电核能、绿色电力；风格标签：昨日涨停、昨日连板、最近多板、最近情绪；指数归属：上证380、中盘价值、中盘成长、中证800；交易属性：中证500、沪港通SH、融资融券、转融券。
46,sh600198,大唐电信,计算机、通信和其他电子设备制造业,通信设备,系统设备,4.0705,3.9776,22,9,5G概念、MCU芯片、光通信、卫星导航、商业航天、智能穿戴、汽车芯片、物联网,5G概念、MCU芯片、一带一路、云计算、低空经济、信息安全、光通信、创投概念,行业位置：通信设备/系统设备；相关概念：5G概念、MCU芯片、一带一路、云计算、低空经济；风格标签：久不分红、亏损股、最近异动、最近情绪；指数归属：上证580、中证央企；交易属性：沪港通SH、转融券。
47,sh603290,斯达半导,计算机、通信和其他电子设备制造业,半导体,功率半导体,4.0312,3.939,10,8,MCU芯片、三代半导、储能、光伏、数据中心、新能源车、汽车芯片、芯片,MCU芯片、三代半导、低空经济、储能、光伏、数据中心、新能源车、汽车芯片,行业位置：半导体/功率半导体；相关概念：MCU芯片、三代半导、低空经济、储能、光伏；风格标签：昨日涨停、昨日首板、最近情绪、海外业务；指数归属：上证380、中证800、国证成长、小盘成长；交易属性：专精特新、中证500、含可转债、沪港通SH。
48,sh688305,科德数控,机械设备,机床制造,机床制造,4.2362,3.9271,14,6,DeepSeek、商业航天、国防军工、新能源车、智能机器、芯片,DeepSeek、一带一路、低空经济、商业航天、国防军工、大飞机、工业母机、新型工业,行业位置：机床制造/机床制造；相关概念：DeepSeek、一带一路、低空经济、商业航天、国防军工；风格标签：密集调研、承诺不减；指数归属：上证580、科创200、科创高装；交易属性：专精特新、中证2000、国证2000、沪港通SH。
49,sh688120,华海清科,专用设备制造业,半导体,半导体设备,4.3746,3.8977,5,4,三代半导、先进封装、存储芯片、芯片,MicroLED、三代半导、先进封装、存储芯片、芯片,行业位置：半导体/半导体设备；相关概念：MicroLED、三代半导、先进封装、存储芯片、芯片；风格标签：历史新高、回购计划、基金重仓、定增预案；指数归属：上证380、中盘成长、中证800、创新100；交易属性：专精特新、中证500、中证A500、沪港通SH。
50,sz002371,北方华创,半导体,半导体,半导体设备,3.8436,3.8671,7,4,OLED概念、三代半导、存储芯片、芯片,OLED概念、三代半导、华为海思、存储芯片、芯片、通达信88、锂电池,行业位置：半导体/半导体设备；相关概念：OLED概念、三代半导、华为海思、存储芯片、芯片；风格标签：MSCI成份、北上重仓、历史新高、员工持股；指数归属：300ESG、300非周、中创100、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
51,sh688012,中微公司,半导体,半导体,半导体设备,4.229,3.8031,6,3,先进封装、存储芯片、芯片,MiniLED、先进封装、区块链、存储芯片、工业互联、芯片,行业位置：半导体/半导体设备；相关概念：MiniLED、先进封装、区块链、存储芯片、工业互联；风格标签：MSCI成份、北上重仓、基金重仓、大基金；指数归属：300ESG、300非周、上证180、上证50；交易属性：中证A500、沪港通SH、融资融券。
52,sz300502,新易盛,计算机、通信和其他电子设备制造业,通信设备,网络接配及塔设,3.9077,3.8001,6,5,5G概念、CPO概念、光通信、数据中心、芯片,5G概念、CPO概念、光通信、数据中心、芯片、通达信88,行业位置：通信设备/网络接配及塔设；相关概念：5G概念、CPO概念、光通信、数据中心、芯片；风格标签：MSCI成份、券商重仓、北上重仓、历史新高；指数归属：300非周、中创100、中证800、创业300；交易属性：中证A500、深港通SZ、深证成指、融资融券。
53,sh688498,源杰科技,半导体,半导体,集成电路设计,4.0556,3.7417,6,6,5G概念、CPO概念、光通信、数据中心、汽车芯片、芯片,5G概念、CPO概念、光通信、数据中心、汽车芯片、芯片,行业位置：半导体/集成电路设计；相关概念：5G概念、CPO概念、光通信、数据中心、汽车芯片；风格标签：MSCI成份、QFII新进、QFII重仓、基金重仓；指数归属：上证580、上证治理、科创100、科创信息；交易属性：中证1000、国证2000、沪港通SH、融资融券。
54,sh600580,卧龙电驱,电气机械和器材制造业,电气设备,电机制造,3.5537,3.6825,24,8,DeepSeek、人形机器、储能、国防军工、小米概念、数据中心、新能源车、智能机器,BIPV概念、DeepSeek、一带一路、人形机器、低空经济、储能、国防军工、外骨骼,行业位置：电气设备/电机制造；相关概念：BIPV概念、DeepSeek、一带一路、人形机器、低空经济；风格标签：MSCI成份、分拆上市、行业龙头、非周期股；指数归属：上证380、中证800；交易属性：中证500、中证A500、沪港通SH、融资融券。
55,sz300570,太辰光,计算机、通信和其他电子设备制造业,通信设备,网络接配及塔设,4.0497,3.6765,6,5,5G概念、CPO概念、光通信、数据中心、芯片,5G概念、CPO概念、光通信、数据中心、芯片、铜缆连接,行业位置：通信设备/网络接配及塔设；相关概念：5G概念、CPO概念、光通信、数据中心、芯片；风格标签：参股金融、活跃股、海外业务、百元股；指数归属：中证800、创业200、创业300、创质量；交易属性：中证500、深港通SZ、深证成指、融资融券。
