股票代码,股票名称,链路,字段,是否必填,填写值,填写说明
sh688012,中微公司,公司概况,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,公司概况,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,公司概况,人工备注,否,仅按公开披露资料提炼公司事实，不构成推荐或买卖建议；后续如进入正式档案仍需保留来源链接。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688012,中微公司,事件风险,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688012,中微公司,事件风险,材料标题,是,龙芯中科技术股份有限公司2025年年度报告及2026年第一季度报告,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,事件风险,材料发布日期,是,2026-04-29,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,事件风险,材料来源名称,是,巨潮资讯和上海证券报信息披露,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,事件风险,材料来源URL,是,https://paper.cnstock.com/html/2026-04/29/content_2209431.htm,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688012,中微公司,事件风险,事件类型,是,定期报告及持续经营风险核验,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688012,中微公司,事件风险,风险等级,是,中,只记录已核验的事件和风险，不确定内容先留空或写入备注。
sh688012,中微公司,事件风险,是否发现新增重大风险,是,否,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688012,中微公司,事件风险,是否支持当前前台结论,是,不确定,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688012,中微公司,事件风险,建议前台处理,是,维持研究关注但不因基本面证据单独升级；前台继续提示亏损、研发投入、市场竞争、供应链和行业波动风险。,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688012,中微公司,事件风险,核验摘要,是,定期报告显示公司业务和自主生态建设仍在推进；2025年营收增长且亏损收窄，但仍处于亏损状态，需继续跟踪盈利修复、现金流、研发投入和行业竞争。未从本轮公开披露材料中识别需要立即阻断前台研究关注的新增重大风险。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688012,中微公司,事件风险,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,事件风险,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,事件风险,人工备注,否,事件风险口径只说明公开资料风险，不代表当前价格或交易判断；若正式推送应保留风险提示。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688012,中微公司,行业景气,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688012,中微公司,行业景气,行业指数或价格来源名称,是,国家统计局2026年3月份规模以上工业增加值数据和龙芯中科2025年年度报告行业描述,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,行业景气,行业指数或价格来源URL,是,https://www.stats.gov.cn/sj/zxfbhjd/202604/t20260416_1963329.html,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688012,中微公司,行业景气,数据日期,是,2026-04-16,按行业指数、价格、订单、政策等来源核验景气判断。
sh688012,中微公司,行业景气,正式行业景气判断,是,偏上行但分化。国家统计局数据显示2026年3月集成电路产量475亿块同比增长20.6%，1至3月1272亿块同比增长24.3%；公司年报也描述国产集成电路和自主生态仍在推进。,按行业指数、价格、订单、政策等来源核验景气判断。
sh688012,中微公司,行业景气,是否支持现有景气估算,是,是,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688012,中微公司,行业景气,样本估算偏差判断,是,现有L6样本等权估算方向与公开宏观产品数据一致，但国家统计局数据是集成电路整体产量口径，不等同于国产CPU细分景气，仍存在样本和细分赛道偏差。,按行业指数、价格、订单、政策等来源核验景气判断。
sh688012,中微公司,行业景气,建议前台处理,是,维持行业方向观察，前台可说明行业景气支持关注但不能替代单股盈利和风险核验。,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688012,中微公司,行业景气,核验摘要,是,公开宏观数据支持集成电路产量景气较强，龙芯年报亦强调自主可控信息技术体系和集成电路产业趋势；但龙芯中科自身仍需结合营收、亏损收窄、产品落地和生态进展持续验证。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688012,中微公司,行业景气,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,行业景气,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,行业景气,人工备注,否,行业景气只作为研究背景，不直接形成买卖判断；细分到国产CPU仍需后续跟踪订单和生态落地。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
