股票代码,股票名称,链路,字段,是否必填,填写值,填写说明
sh688012,中微公司,事件风险,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,事件风险,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,事件风险,人工备注,否,事件风险仅用于前台风险提示和证据完整性，不自动改变推荐等级或买卖判断。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688012,中微公司,行业景气,核验状态,是,已核验,填“已核验”才允许进入192预览；未核验、存疑、待补充都不能放行。
sh688012,中微公司,行业景气,行业指数或价格来源名称,是,SEMI全球半导体设备销售数据；中微公司2025年年度报告行业描述,填写可靠公开资料、公告、财报、研报摘要等可追溯材料。
sh688012,中微公司,行业景气,行业指数或价格来源URL,是,https://www.semi.org/en/SEMI-Reports-Global-Semiconductor-Equipment-Billings-Reached-135-Billion-in-2025；http://static.sse.com.cn/disclosure/listedinfo/announcement/c/new/2026-03-31/688012_20260331_3UTD.pdf,填写可追溯来源路径或URL；没有可靠来源就先留空。
sh688012,中微公司,行业景气,数据日期,是,2026-04-07；2026-03-31,按行业指数、价格、订单、政策等来源核验景气判断。
sh688012,中微公司,行业景气,正式行业景气判断,是,偏上行但有周期分化。SEMI披露2025年全球半导体制造设备销售额1351亿美元，同比增长15%，先进逻辑、存储和AI相关产能扩张是主要驱动；中微年报也显示刻蚀、薄膜、MOCVD等核心设备需求与先进制程、3D存储和高端显示相关。,按行业指数、价格、订单、政策等来源核验景气判断。
sh688012,中微公司,行业景气,是否支持现有景气估算,是,是,填写“是/否/不确定”，并在摘要或备注中说明依据。
sh688012,中微公司,行业景气,样本估算偏差判断,是,现有半导体方向景气估算与行业协会数据和公司披露方向一致，但SEMI是全球设备口径，不能直接等同于中微公司单股订单、利润率和估值安全边际。,按行业指数、价格、订单、政策等来源核验景气判断。
sh688012,中微公司,行业景气,建议前台处理,是,前台可说明行业景气支持继续研究，但不得把行业景气直接写成买入结论；仍需结合价格位置、成交额、订单验证、毛利率和风险线。,填写对前台结论的处理建议，例如维持、降级观察、暂不采用。
sh688012,中微公司,行业景气,核验摘要,是,半导体设备整体处在高景气区间，先进逻辑、存储、AI相关产能和国产设备替代是主要支撑；中微产品处于刻蚀、薄膜沉积、MOCVD等关键环节，但行业具有资本开支周期波动和外部管制风险。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
sh688012,中微公司,行业景气,核验人,是,Codex公开资料核验,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,行业景气,核验日期,是,2026-05-03,填写人工核验责任人和日期，日期建议YYYY-MM-DD。
sh688012,中微公司,行业景气,人工备注,否,行业景气证据只作为研究背景，不替代单股评分、前台策略和风险观察线。,简要说明人工判断依据、疑点和后续需要继续跟踪的点。
