"代码","名称","最新日期","最新收盘","指标来源","所属池","阶段用途","MA5","MA10","MA20","MA60","RSI14","MACD状态","量能状态","支撑位参考","压力位参考","转强线参考","风控线参考","平台突破字段状态","报告技术动作","条件式写法","不允许写法"
"sz002028","思源电气","2026-04-30","195.19","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口","203.38","211.03","209.07","209.89","39.57","动能偏弱","缩量，确认不足","缺少均线下方支撑","MA20 209.07","MA20 209.07","缺少中期均线参考","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 0/4 条均线；动能偏弱；偏弱；缩量，确认不足","若后续仍能站稳关键均线且量能不降级，可作为观察优先级加分；若跌破风控参考线，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz002049","紫光国微","2026-04-30","75.89","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；L6行业主题观察池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；晚间主输入；行业主题入口","74.13","73.07","70.82","73.85","69.62","动能偏强","缩量，确认不足","MA20 70.82","均线上方压力不明显，需补前高/平台字段","MA20 70.82","MA60 73.85","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏强；偏强；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz002281","光迅科技","2026-04-30","138.99","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；L6行业主题观察池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；晚间主输入；行业主题入口；盘前候选来源","134.42","128.64","115.26","90.6","75.79","动能偏强","缩量，确认不足","MA20 115.26","均线上方压力不明显，需补前高/平台字段","MA20 115.26","MA60 90.6","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏强；偏热；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz002594","比亚迪","2026-04-30","102.97","300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；盘前候选来源","102.33","102.15","101.93","98.35","52.87","动能偏弱","量能一般","MA20 101.93","均线上方压力不明显，需补前高/平台字段","MA20 101.93","MA60 98.35","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏弱；中性；量能一般","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz002812","恩捷股份","2026-04-30","83.14","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L8B扩展战略样本池；L7可交易过滤池；L6行业主题观察池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；上游增强样本；用户偏好增强；大样本过滤入口；晚间主输入；行业主题入口","80.83","76.87","72.6","66.14","73.32","动能偏强","缩量，确认不足","MA20 72.6","均线上方压力不明显，需补前高/平台字段","MA20 72.6","MA60 66.14","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏强；偏强；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz300308","中际旭创","2026-04-30","863.83","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；L6行业主题观察池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；晚间主输入；行业主题入口","854.97","861.93","781.69","640.36","73.57","动能偏弱","缩量，确认不足","MA20 781.69","均线上方压力不明显，需补前高/平台字段","MA20 781.69","MA60 640.36","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 4/4 条均线；动能偏弱；偏强；缩量，确认不足","若后续仍能站稳MA20且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz300502","新易盛","2026-04-30","532.33","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；盘前候选来源","536.01","566.16","530.21","448.6","51.74","动能偏弱","缩量，确认不足","MA60 448.6","MA10 566.16","MA20 530.21","MA60 448.6","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 2/4 条均线；动能偏弱；中性；缩量，确认不足","若后续仍能站稳MA60且量能不降级，可作为观察优先级加分；若跌破MA60，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz300641","正丹股份","2026-04-30","17.44","重点关注池技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L8B扩展战略样本池；L7可交易过滤池","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；上游增强样本；用户偏好增强；大样本过滤入口","18.28","18.82","18.89","20.04","36.47","动能偏弱","缩量，确认不足","缺少均线下方支撑","MA20 18.89","MA20 18.89","缺少中期均线参考","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 0/4 条均线；动能偏弱；偏弱；缩量，确认不足","若后续仍能站稳关键均线且量能不降级，可作为观察优先级加分；若跌破风控参考线，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz300724","捷佳伟创","2026-04-30","92.62","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L7可交易过滤池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；大样本过滤入口；盘前候选来源","90.05","96.31","102","116.57","27.72","动能偏弱","缩量，确认不足","MA5 90.05","MA60 116.57","MA20 102","MA5 90.05","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 1/4 条均线；动能偏弱；偏弱；缩量，确认不足","若后续仍能站稳MA5且量能不降级，可作为观察优先级加分；若跌破MA5，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
"sz300871","回盛生物","2026-04-30","26.07","重点关注池技术指标；300只候选技术指标","重点关注股票池；300只试运行池；L8X综合候选池；L8B扩展战略样本池；L7可交易过滤池；300只盘后轻扫描候选","盘后辅助；晚间辅助；盘前关注过滤；盘后主输入；指标扩面目标；上游样本底座；后续扩展目标；上游增强样本；用户偏好增强；大样本过滤入口；盘前候选来源","26.97","27.25","26.47","26.21","57.73","动能偏弱","缩量，确认不足","缺少均线下方支撑","MA20 26.47","MA20 26.47","缺少中期均线参考","不可确认：缺少前高、区间高低点、BOLL/ATR或平台结构字段","收盘价高于 0/4 条均线；动能偏弱；中性；缩量，确认不足","若后续仍能站稳关键均线且量能不降级，可作为观察优先级加分；若跌破风控参考线，降低短线优先级。","不写买入/卖出/满仓/止盈等交易指令；不把缺失字段编成确定结论。"
