股票代码,行业名称,细分行业名称,概念板块,风格板块,指数板块,特殊板块,板块总数,市场位置摘要
sz301236,软件服务,行业应用软件,5G概念、AIGC概念、AI手机PC、AI智能体、ChatGPT、DeepSeek、东数西算、互联金融、人工智能、人形机器、低空经济、信创、元宇宙、养老概念、区块链、华为算力、华为鸿蒙、国产软件、多模态AI、小米概念、工业互联、抖音概念、换电概念、操作系统、数字孪生、数字货币、数据要素、无人驾驶、智能医疗、智能机器、液冷服务、百度概念、算力租赁、职业教育、腾讯概念、芯片、英伟达、虚拟电厂、财税数字、跨境支付、跨境电商、车联网、阿里概念,MSCI中盘、定增股、拟减持、非周期股、高市盈率,300非周、AI应用50、中创100、中证200、中证800、创业300、创业大盘、创业板50、创业板指、创科技、国证算力、民企100、沪深300、消费100、深证300、深证50、科技100,中证A500、深港通SZ、深证成指、融资融券,69,行业位置：软件服务/行业应用软件；相关概念：5G概念、AIGC概念、AI手机PC、AI智能体、ChatGPT；风格标签：MSCI中盘、定增股、拟减持、非周期股；指数归属：300非周、AI应用50、中创100、中证200；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz002179,元器件,军工电子,5G概念、6G概念、CPO概念、低空经济、储能、充电桩、光伏、光通信、军民融合、卫星导航、可控核变、商业航天、国防军工、大飞机、换电概念、数据中心、新能源车、无人机、智能机器、智能电网、核电核能、液冷服务、特斯拉、芯片、车联网、量子科技、铜缆连接,MSCI成份、中字头、密集调研、最近情绪、社保重仓、行业龙头、非周期股、高应收款,300ESG、300非周、中创100、中小100、中小300、中证100、中证200、中证800、中证A100、中证央企、创新100、国企改革、国证成长、国证治理、大盘成长、央企100、数字经济、新兴成指、沪深300、消费100、深主板50、深证100、深证300、深证创新、深证成长、深证治理、科技100,专精特新、中证A500、深港通SZ、深证成指、融资融券、转融券,68,行业位置：元器件/军工电子；相关概念：5G概念、6G概念、CPO概念、低空经济、储能；风格标签：MSCI成份、中字头、密集调研、最近情绪；指数归属：300ESG、300非周、中创100、中小100；交易属性：专精特新、中证A500、深港通SZ、深证成指。
sz002008,专用机械,激光设备,3D打印、AI眼镜、HJT电池、MicroLED、MiniLED、OLED概念、PCB概念、TOPCon、三代半导、储能、先进封装、光伏、光刻机、光通信、减速器、口罩防护、商业航天、固态电池、国防军工、存储芯片、小米概念、工业母机、新型工业、新能源车、智能机器、机器视觉、消费电子、物联网、特斯拉、芯片、苹果概念、钙钛矿、锂电池、高端装备,分拆上市、历史新高、商誉减值、基金重仓、大盘股、户数减少、昨日上榜、昨日涨停、最近多板、最近情绪、百元股、股东减持、融资增加、近期强势、近期新高、非周期股、高应收款,中小100、中小300、中证800、分析师指、创新100、央视50、新硬件、深证300、深证创新、科技100,中证500、中证A500、深港通SZ、深证成指、融资融券、转融券,67,行业位置：专用机械/激光设备；相关概念：3D打印、AI眼镜、HJT电池、MicroLED、MiniLED；风格标签：分拆上市、历史新高、商誉减值、基金重仓；指数归属：中小100、中小300、中证800、分析师指；交易属性：中证500、中证A500、深港通SZ、深证成指。
sz300308,通信设备,网络接配及塔设,5G概念、CPO概念、光通信、创投概念、数据中心、无人驾驶、汽车电子、液冷服务、芯片、英伟达、通达信88,MSCI成份、QFII新进、QFII重仓、券商金股、北上重仓、历史新高、基金重仓、大盘股、昨成交20、海外业务、百元股、绩优股、近期强势、近期新高、通达信热、非周期股、高市净率、高应收款,300ESG、300非周、中创100、中华A80、中证100、中证800、中证A100、中证A50、中证龙头、创业300、创业创新、创业大盘、创业板50、创业板指、创成长、创新100、创科技、创质量、双创50、国证成长、国证算力、大盘成长、数字经济、新兴成指、民企100、沪深300、消费100、深证100、深证300、深证50、深证创新、深证成长、环渤海、银河99,中证A500、深港通SZ、深证成指、融资融券,67,行业位置：通信设备/网络接配及塔设；相关概念：5G概念、CPO概念、光通信、创投概念、数据中心；风格标签：MSCI成份、QFII新进、QFII重仓、券商金股；指数归属：300ESG、300非周、中创100、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz300750,电气设备,锂电池,储能、含H股、固态电池、小米汽车、新能源车、海峡西岸、特斯拉、电池回收、通达信88、钠电池、锂电池,MSCI成份、券商金股、北上重仓、员工持股、基金重仓、大盘股、昨成交20、百元股、绩优股、股东减持、股权转让、行业龙头、通达信热、陆股通重、非周期股、高应收款,300ESG、300非周、MSCIA50、中创100、中华A80、中证100、中证800、中证A100、中证A50、中证龙头、内地低碳、创业300、创业创新、创业大盘、创业板50、创业板指、创业蓝筹、创成长、创科技、双创50、国证成长、国证治理、大盘成长、富时A50、民企100、沪深300、深证100、深证300、深证50、深证创新、深证成长、深证治理、环保50、科技100、腾讯济安、银河99,中证A500、深港通SZ、深证成指、融资融券,67,行业位置：电气设备/锂电池；相关概念：储能、含H股、固态电池、小米汽车、新能源车；风格标签：MSCI成份、券商金股、北上重仓、员工持股；指数归属：300ESG、300非周、MSCIA50、中创100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz000651,家用电器,空调,MCU芯片、一体压铸、三代半导、储能、口罩防护、工业互联、工业母机、新能源车、新零售、智能家居、智能机器、液冷服务、热泵概念、物联网、芯片、锂电池、预制菜,MSCI成份、专项贷款、低市盈率、保险重仓、北上重仓、回购计划、基金重仓、大盘股、绩优股、自由现金、被举牌、证金汇金、陆股通重、非周期股、高应收款、高股息股,300ESG、300非周、中华A80、中证100、中证800、中证A100、中证红利、中证龙头、分析师指、国证价值、国证治理、国证红利、大盘价值、央视50、投资时钟、沪深300、深主板50、深证100、深证300、深证50、深证价值、深证治理、深证红利、珠三角、红利低波、腾讯济安、银河99,中证A500、深港通SZ、深证成指、融资融券、转融券,65,行业位置：家用电器/空调；相关概念：MCU芯片、一体压铸、三代半导、储能、口罩防护；风格标签：MSCI成份、专项贷款、低市盈率、保险重仓；指数归属：300ESG、300非周、中华A80、中证100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz002594,汽车整车,电动乘用车,DeepSeek、储能、充电桩、光伏、口罩防护、含H股、小米汽车、数据中心、新能源车、无人驾驶、智能机器、汽车拆解、电池回收、盐湖提锂、芯片、车联网、钠电池、锂电池、锂矿、高压快充,MSCI成份、分拆上市、券商金股、北上重仓、基金重仓、大盘股、百元股、社保重仓、非周期股、高应收款,300ESG、300非周、MSCIA50、中创100、中华A80、中小100、中小300、中证100、中证800、中证A100、中证A50、中证龙头、创新100、国证成长、国证治理、大盘成长、富时A50、民企100、沪深300、消费100、深主板50、深证100、深证300、深证50、深证价值、深证创新、深证成长、珠三角、科技100、银河99,中证A500、深港通SZ、深证成指、融资融券、转融券,65,行业位置：汽车整车/电动乘用车；相关概念：DeepSeek、储能、充电桩、光伏、口罩防护；风格标签：MSCI成份、分拆上市、券商金股、北上重仓；指数归属：300ESG、300非周、MSCIA50、中创100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz300014,电气设备,锂电池,人形机器、人脑工程、低空经济、储能、商业航天、固态电池、安防服务、小米概念、新型烟草、新能源车、无人机、无线耳机、智能机器、智能电网、氢能源、燃料电池、物联网、电池回收、盐湖提锂、胎压监测、钠电池、锂电池、锂矿、飞行汽车,MSCI成份、北上重仓、基金重仓、大盘股、非周期股、高应收款,300ESG、300非周、中创100、中证100、中证200、中证800、中证A100、内地低碳、创业300、创业创新、创业大盘、创业板50、创业板指、创科技、创质量、双创50、国证成长、大盘成长、富时A50、新兴成指、民企100、沪深300、深证100、深证300、深证创新、深证成长、环保50、珠三角、科技100,中证A500、深港通SZ、深证成指、融资融券、转融券,64,行业位置：电气设备/锂电池；相关概念：人形机器、人脑工程、低空经济、储能、商业航天；风格标签：MSCI成份、北上重仓、基金重仓、大盘股；指数归属：300ESG、300非周、中创100、中证100；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz000938,IT设备,其他IT设备,5G概念、6G概念、AIGC概念、AI智能体、CPO概念、DeepSeek、东数西算、云计算、人工智能、信息安全、储能、国资云、大数据、安防服务、工业互联、抖音概念、操作系统、数字孪生、数据中心、数据要素、智慧政务、智能交通、智能机器、液冷服务、物联网、算力租赁、芯片、英伟达、车联网、阿里概念,MSCI成份、定增预案、密集调研、昨日强势、昨日振荡、最近异动、近期新高、重组股、非周期股、高应收款、高校背景,300ESG、300非周、中证100、中证200、中证800、中证A100、中证A50、国企改革、国证算力、数字经济、新兴成指、沪深300、消费100、深主板50、深证100、深证300、深证50,中证A500、深港通SZ、深证成指、融资融券、转融券,63,行业位置：IT设备/其他IT设备；相关概念：5G概念、6G概念、AIGC概念、AI智能体、CPO概念；风格标签：MSCI成份、定增预案、密集调研、昨日强势；指数归属：300ESG、300非周、中证100、中证200；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz000725,元器件,面板,AI眼镜、MicroLED、MiniLED、OLED概念、人工智能、储能、充电桩、光伏、光通信、含B股、小米概念、工业互联、折叠屏、新零售、智能医疗、智能穿戴、民营医院、物联网、电子纸、芯片、苹果概念、虚拟现实、虚拟电厂、超清视频、钙钛矿,MSCI成份、QFII新进、QFII重仓、专项贷款、北上重仓、回购计划、基金重仓、大盘股、股权激励、行业龙头、非周期股、高应收款,300ESG、300非周、MSCIA50、中华A80、中证100、中证800、中证A100、中证A50、分析师指、国企改革、富时A50、沪深300、消费100、深主板50、深证100、深证300、深证50、深证价值、环渤海、银河99,中证A500、深港通SZ、深证成指、融资融券、转融券,62,行业位置：元器件/面板；相关概念：AI眼镜、MicroLED、MiniLED、OLED概念、人工智能；风格标签：MSCI成份、QFII新进、QFII重仓、专项贷款；指数归属：300ESG、300非周、MSCIA50、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz002371,半导体,半导体设备,OLED概念、三代半导、华为海思、存储芯片、芯片、通达信88、锂电池,MSCI成份、北上重仓、历史新高、员工持股、基金重仓、大基金、大盘股、板块趋势、百元股、绩优股、股权转让、行业龙头、近期新高、陆股通重、非周期股、高应收款,300ESG、300非周、中创100、中华A80、中小100、中小300、中证100、中证800、中证A100、中证A50、中证龙头、创新100、半导体50、国企改革、国证成长、国证治理、国证芯片、大盘成长、富时A50、数字经济、新兴成指、沪深300、消费100、深主板50、深证100、深证300、深证50、深证创新、深证成长、深证治理、环渤海、科技100、银河99,中证A500、深港通SZ、深证成指、融资融券、转融券,61,行业位置：半导体/半导体设备；相关概念：OLED概念、三代半导、华为海思、存储芯片、芯片；风格标签：MSCI成份、北上重仓、历史新高、员工持股；指数归属：300ESG、300非周、中创100、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz300274,电气设备,光伏逆变器,云计算、储能、充电桩、光伏、数据中心、新能源车、氢能源、虚拟电厂、通达信88、阿里概念、风电,专项贷款、分拆上市、北上重仓、员工持股、基金重仓、大盘股、百元股、绩优股、行业龙头、陆股通重、非周期股、高应收款,300ESG、300非周、中创100、中华A80、中证100、中证800、中证A100、中证龙头、内地低碳、创业300、创业创新、创业大盘、创业板50、创业板指、创成长、创科技、创质量、双创50、国证成长、国证治理、大盘成长、富时A50、新兴成指、民企100、沪深300、深证100、深证300、深证50、深证成长、深证治理、环保50、科技100、银河99,中证A500、深港通SZ、深证成指、融资融券、转融券,61,行业位置：电气设备/光伏逆变器；相关概念：云计算、储能、充电桩、光伏、数据中心；风格标签：专项贷款、分拆上市、北上重仓、员工持股；指数归属：300ESG、300非周、中创100、中华A80；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sz300433,元器件,消费电子组件,3D打印、AI手机PC、AI眼镜、OLED概念、TOPCon、人形机器、人脑工程、元宇宙、充电桩、光伏、减速器、口罩防护、含H股、商业航天、小米概念、小米汽车、工业互联、折叠屏、新型工业、新型烟草、新材料、新能源车、无线耳机、智能家居、智能机器、智能穿戴、汽车电子、消费电子、液冷服务、特斯拉、苹果概念、虚拟现实,MSCI成份、专项贷款、北上重仓、大盘股、密集调研、拟增持、股权转让、非周期股,300ESG、300非周、中创100、中证800、创业300、创业创新、创业大盘、创业板50、创业板指、双创50、民企100、沪深300、消费100、深证100、深证300、深证价值、科技100,中证A500、深港通SZ、深证成指、融资融券,61,行业位置：元器件/消费电子组件；相关概念：3D打印、AI手机PC、AI眼镜、OLED概念、TOPCon；风格标签：MSCI成份、专项贷款、北上重仓、大盘股；指数归属：300ESG、300非周、中创100、中证800；交易属性：中证A500、深港通SZ、深证成指、融资融券。
sh603019,IT设备,其他IT设备,AI医疗、AI智能体、DeepSeek、Web3概念、东数西算、中特估、云计算、人工智能、信创、信息安全、创投概念、区块链、国产软件、基因概念、大数据、工业互联、抖音概念、操作系统、数字孪生、数据中心、新型工业、智慧城市、智能电网、智谱AI、液冷服务、百度概念、算力租赁、腾讯概念、芯片、边缘计算、量子科技、雄安新区,MSCI成份、中字头、参股新股、发可转债、商誉减值、基金重仓、大盘股、持续增长、百元股、通达信热、非周期股,300ESG、300非周、上证180、上证50、上证创新、中证100、中证200、中证800、中证A100、国企改革、国证算力、新硬件、沪深300、消费100,中证A500、沪港通SH、融资融券,60,行业位置：IT设备/其他IT设备；相关概念：AI医疗、AI智能体、DeepSeek、Web3概念、东数西算；风格标签：MSCI成份、中字头、参股新股、发可转债；指数归属：300ESG、300非周、上证180、上证50；交易属性：中证A500、沪港通SH、融资融券。
sz300394,通信设备,网络接配及塔设,5G概念、CPO概念、先进封装、光通信、数据中心、无人驾驶、英伟达、通达信88,MSCI成份、QFII新进、QFII重仓、基金重仓、大盘股、昨成交20、昨日较强、海外业务、百元股、私募新进、私募重仓、绩优股、通达信热、非周期股、高市净率,300ESG、300非周、中创100、中盘成长、中证200、中证800、中证龙头、创业300、创业创新、创业大盘、创业板50、创业板指、创成长、创新100、创科技、创质量、双创50、国证成长、国证治理、国证算力、富时A50、数字经济、新兴成指、民企100、沪深300、消费100、深证100、深证300、深证创新、深证成长、科技100、银河99,专精特新、中证A500、深港通SZ、深证成指、融资融券,60,行业位置：通信设备/网络接配及塔设；相关概念：5G概念、CPO概念、先进封装、光通信、数据中心；风格标签：MSCI成份、QFII新进、QFII重仓、基金重仓；指数归属：300ESG、300非周、中创100、中盘成长；交易属性：专精特新、中证A500、深港通SZ、深证成指。
sz300496,软件服务,行业应用软件,5G概念、AIGC概念、AI手机PC、AI智能体、AI眼镜、ChatGPT、DeepSeek、人工智能、低空经济、元宇宙、区块链、华为汽车、华为海思、华为鸿蒙、多模态AI、大数据、小米概念、小米汽车、抖音概念、操作系统、新型工业、无人机、无人驾驶、智能交通、智能家居、智能机器、智能电网、智能穿戴、机器视觉、汽车电子、消费电子、混合现实、物联网、百度概念、腾讯概念、英伟达、虚拟现实、车联网、边缘计算、阿里概念,专项贷款、非周期股,AI应用50、中证800、创业300、创业创新、创业板50、创业板指、创业蓝筹、创科技、创质量、数字经济、新兴成指、深证300、深证创新,中证500、中证A500、深港通SZ、深证成指、融资融券,60,行业位置：软件服务/行业应用软件；相关概念：5G概念、AIGC概念、AI手机PC、AI智能体、AI眼镜；风格标签：专项贷款、非周期股；指数归属：AI应用50、中证800、创业300、创业创新；交易属性：中证500、中证A500、深港通SZ、深证成指。
sz002065,软件服务,行业应用软件,AI智能体、ChatGPT、DRG-DIP、DeepSeek、东数西算、云计算、互联金融、人工智能、低空经济、信创、信息安全、储能、元宇宙、养老概念、军民融合、区块链、华为算力、华为鸿蒙、卫星导航、国产软件、大数据、工业互联、抖音概念、数字孪生、数据中心、数据要素、旅游概念、无人驾驶、智慧城市、智慧政务、智能交通、智能医疗、智谱AI、水利建设、海南自贸、百度概念、知识付费、算力租赁、腾讯概念、芯片、虚拟现实、跨境支付、车联网、雄安新区,,AI应用50、中小300、中证800、区块链50、在线消费、民企100、深证300、科技100、金融科技,中证500、中证A500、深港通SZ、深证成指、融资融券、转融券,59,行业位置：软件服务/行业应用软件；相关概念：AI智能体、ChatGPT、DRG-DIP、DeepSeek、东数西算；指数归属：AI应用50、中小300、中证800、区块链50；交易属性：中证500、中证A500、深港通SZ、深证成指。
sh601668,建筑工程,房屋建设,BIPV概念、PPP概念、一带一路、中特估、地下管网、数字孪生、新型城镇、核电核能、水利建设、绿色建筑、绿色电力、装配建筑、通达信88、风电,MSCI成份、专项贷款、中字头、低市净率、低市盈率、北上重仓、基金重仓、大盘股、破净资产、私募新进、私募重仓、行业龙头、非周期股、高应收款、高股息股,300ESG、300非周、MSCIA50、上证180、上证50、上证治理、中华A80、中证100、中证800、中证A100、中证A50、中证央企、中证红利、中证龙头、分析师指、国企改革、国证价值、国证基建、国证红利、大盘价值、央企100、沪深300、环渤海、红利低波、银河99,中证A500、沪港通SH、融资融券、转融券,58,行业位置：建筑工程/房屋建设；相关概念：BIPV概念、PPP概念、一带一路、中特估、地下管网；风格标签：MSCI成份、专项贷款、中字头、低市净率；指数归属：300ESG、300非周、MSCIA50、上证180；交易属性：中证A500、沪港通SH、融资融券、转融券。
